event,gps,catalog,network_snr,mass1_source,mass2_source,mass_ratio_q,chirp_mass,total_mass,chi_eff,final_mass,luminosity_distance,p_astro,false_alarm_rate,lvc_source_type,eta_proj,lambda1_lambda2,lambda2_lambda3,geometric_class,geometry_mode,symmetry,cross_phase_rotation,n_detector_shifts,detector_trajectory,eta_inspiral,eta_post_inspiral,eta_merger_ringdown,waveform_correlation,envelope_correlation,det_power_merg_H1,det_power_merg_L1,det_power_merg_V1,quadrant,eta_snr_ratio,imr_isco_freq,imr_isco_eta,imr_merger_drop,imr_merger_drop_freq,imr_qnm_peak_freq,imr_qnm_peak_eta,imr_qnm_peak_r12,imr_eta_amplitude_ringdown,imr_n_class_A_regions,imr_eta_max,imr_eta_min,imr_eta_std,geom_isco_freq,geom_mass_total_est,geom_mass_total_err_pct,geom_qnm_freq,geom_method_note
GW200115_042309,1263097407,GWTC-3-confident,11.3,5.9,1.4,0.2441,2.42,7.3,-0.15,7.2,290.0,0.99,,NSBH,0.3863,1.2,1.1,B+,multi-mode,low,0.6614,0,V1→V1→V1,0.421,0.3969,0.3863,0.2065,-0.0382,0.2792,0.3101,0.4107,Q4-DiffuseDynamic,0.0342,60.0,0.5663,-0.1177,60.0,435.0,0.796,7.09,0.4167,1,0.796,0.3792,0.1099,,,,,
GW200129_065458,1264316116,GWTC-3-confident,26.8,34.5,29.0,0.8406,27.52,63.5,0.11,60.2,890.0,0.99,,BBH,0.3871,1.19,1.14,B+,multi-mode,low,0.6627,0,V1→V1→V1,0.473,0.3739,0.3871,0.2712,0.062,0.3005,0.3494,0.3501,Q4-DiffuseDynamic,0.0144,40.0,0.4951,-0.0497,80.0,435.0,0.5811,2.45,0.2205,3,0.5811,0.3606,0.061,,,,,
GW200202_154313,1264693411,GWTC-3-confident,10.8,10.1,7.3,0.7228,7.46,17.4,0.04,16.8,410.0,0.99,,BBH,0.3986,1.19,1.25,B+,multi-mode,low,0.6619,0,V1→V1→V1,0.3917,0.3857,0.3986,0.1577,-0.0028,0.279,0.2837,0.4373,Q2-CoherentDynamic,0.0369,40.0,0.4892,-0.0591,80.0,435.0,0.5071,1.81,0.1148,1,0.5071,0.3767,0.0388,,,,,
GW200208_130117,1265202095,GWTC-3-confident,10.8,37.7,27.4,0.7268,27.91,65.1,-0.07,62.5,2230.0,0.99,,BBH,0.363,1.06,1.15,B+,multi-mode,low,0.656,0,V1→V1→V1,0.3855,0.3823,0.363,0.2526,0.1497,0.2479,0.2463,0.5058,Q4-DiffuseDynamic,0.0336,40.0,0.5037,-0.0542,105.0,435.0,0.4419,1.46,0.0764,2,0.5037,0.3655,0.0381,,,,,
GW200208_222617,1265235995,GWTC-3-confident,7.4,51.0,12.3,0.2412,20.81,63.3,0.45,61.0,4100.0,0.7001,,BBH,0.4006,1.23,1.19,B+,multi-mode,low,0.6551,1,L1→V1→V1,0.3978,0.3842,0.4006,0.0995,-0.1478,0.2439,0.2306,0.5255,Q2-CoherentDynamic,0.0541,60.0,0.4892,-0.0559,80.0,485.0,0.5407,2.2,0.1823,0,0.5407,0.3584,0.0494,,,,,
GW200209_085452,1265273710,GWTC-3-confident,9.6,35.6,27.1,0.7612,26.99,62.7,-0.12,59.9,3400.0,0.9724,,BBH,0.4042,1.18,1.36,B,single-mode,low,0.6623,0,V1→V1→V1,0.3745,0.3624,0.4042,0.2715,-0.0335,0.2963,0.2756,0.4281,Q2-CoherentDynamic,0.0421,40.0,0.499,-0.0647,165.0,485.0,0.5107,1.84,0.1222,2,0.5107,0.3762,0.0422,,,,,
GW200210_092254,1265361792,GWTC-3-confident,8.4,24.1,2.8,0.1174,6.52,26.9,0.02,26.7,940.0,0.5446,,NSBH,0.3831,1.19,1.09,B+,multi-mode,low,0.6637,0,V1→V1→V1,0.3795,0.4109,0.3831,0.2047,0.0637,0.3,0.3039,0.3961,Q4-DiffuseDynamic,0.0456,40.0,0.4795,-0.0594,80.0,485.0,0.4872,1.78,0.0905,1,0.4872,0.3725,0.0354,,,,,
GW200216_220804,1265926102,GWTC-3-confident,8.1,51.0,30.0,0.5882,33.82,81.0,0.1,78.0,3800.0,0.7728,,BBH,0.3847,1.16,1.17,B+,multi-mode,low,0.6653,1,L1→V1→V1,0.4013,0.4116,0.3847,0.1908,0.1262,0.2928,0.2994,0.4079,Q4-DiffuseDynamic,0.0475,60.0,0.4687,-0.0599,80.0,435.0,0.453,1.45,0.0814,2,0.4687,0.3716,0.0326,,,,,
GW200219_094415,1266140673,GWTC-3-confident,10.7,37.5,27.9,0.744,28.1,65.4,-0.08,62.2,3400.0,0.99,,BBH,0.3897,1.1,1.39,B+,single-mode,low,0.666,2,V1→L1→V1,0.3918,0.4103,0.3897,0.1771,0.156,0.2975,0.3193,0.3832,Q4-DiffuseDynamic,0.0364,80.0,0.497,-0.0945,80.0,435.0,0.585,2.6,0.2084,1,0.585,0.3707,0.0576,,,,,
GW200220_061928,1266214786,GWTC-3-confident,7.2,87.0,61.0,0.7011,63.22,148.0,0.06,141.0,6000.0,0.6238,,BBH,0.41,1.33,1.09,B+,multi-mode,low,0.6652,0,V1→V1→V1,0.3806,0.3565,0.41,0.1909,-0.0195,0.3232,0.316,0.3608,Q2-CoherentDynamic,0.0569,60.0,0.4786,-0.0744,80.0,435.0,0.5874,2.51,0.2157,3,0.5874,0.3686,0.0605,,,,,
GW200224_222234,1266618172,GWTC-3-confident,20.0,40.0,32.7,0.8175,31.45,72.7,0.1,68.7,1710.0,0.99,,BBH,0.3685,1.1,1.12,B+,multi-mode,low,0.64,0,V1→V1→V1,0.4096,0.4176,0.3685,0.2109,0.0973,0.2041,0.2094,0.5865,Q3-DiffuseStable,0.0184,40.0,0.4842,-0.0541,60.0,435.0,0.523,2.05,0.1418,0,0.523,0.3806,0.0444,,,,,
GW200311_115853,1267963151,GWTC-3-confident,17.8,34.2,27.7,0.8099,26.76,61.9,-0.02,59.0,1170.0,0.99,,BBH,0.3543,1.07,1.06,B+,multi-mode,low,0.6415,1,H1→V1→V1,0.4004,0.3723,0.3543,0.2092,0.0109,0.2175,0.2094,0.5731,Q3-DiffuseStable,0.0199,80.0,0.535,-0.0845,105.0,435.0,0.5663,2.42,0.1882,0,0.5663,0.3729,0.0618,,,,,
GW200316_215756,1268431094,GWTC-3-confident,10.3,13.1,7.8,0.5954,8.74,20.9,0.13,20.2,1120.0,0.99,,BBH,0.3993,1.24,1.15,B+,multi-mode,low,0.6389,0,V1→V1→V1,0.3905,0.3669,0.3993,0.1384,0.1165,0.2135,0.2142,0.5724,Q1-Anchored,0.0388,60.0,0.4784,-0.0536,60.0,435.0,0.7885,6.77,0.4113,1,0.7885,0.361,0.1071,,,,,
GW200322_091133,1268903511,GWTC-3-confident,4.5,38.0,11.3,0.2974,17.42,49.3,0.27,48.0,3500.0,0.615,,BBH,0.3842,1.18,1.12,B+,multi-mode,low,0.6337,1,L1→V1→V1,0.3838,0.378,0.3842,0.1751,-0.0202,0.1807,0.1686,0.6508,Q3-DiffuseStable,0.0854,80.0,0.5043,-0.1047,80.0,435.0,0.838,10.06,0.4657,3,0.838,0.3723,0.1176,,,,,
